Nitrogen,pHospHorus,Kalium,pH Tanah,Soil Moisture
49,161,154,6.1,78.9
50,161,154,7.2,72.4
51,166,159,7.4,84.3
47,154,148,7,76.3
47,156,150,7.2,71.9
41,142,135,6.7,74.9
46,153,146,7.2,74.7
47,154,148,7.4,78.3
40,140,133,7,74.1
44,147,140,7.7,74.6
359,877,876,7.8,77.6
362,883,882,7.3,75.9
389,946,946,7.5,72.7
437,1057,1057,7.9,72.7
460,1109,1110,7.9,72
440,1063,1064,7.8,71
393,956,956,8,72
375,912,911,7.3,72
498,1199,1200,7.7,69.5
314,773,771,8.2,71
94,265,259,8.6,62.2
76,222,216,7.4,63.1
89,254,246,7.7,68.2
85,250,238,8,68
84,241,235,8.8,67.1
105,290,284,9,69.5
105,290,284,7.6,63.3
104,287,281,7.6,78.9
110,300,294,6.72,80
110,290,294,6.72,81.52
23,62,85,8.5,19.52
22,72,85,6.4,15.66
23,72,84,6.9,17.13
28,74,81,8.8,18.31
27,62,77,6.6,14.71
58,70,84,6.2,16.61
59,70,84,7.6,18.75
58,66,79,8.7,19.33
43,66,79,8,15.23
58,63,81,6.5,14.7
