Nitrogen,pHospHorus,Kalium,pH Tanah,Soil Moisture,Fuzzy Output,Label Fuzzy
90,42,43,6.502985292,82.00274423,0.5,S2
85,58,41,7.038096361,80.31964408,0.5,S2
60,55,44,7.840207144,82.3207629,0.5,S2
74,35,40,6.980400905,80.15836264,0.5,S2
78,42,42,7.628472891,81.60487287,0.5,S2
69,37,42,7.073453503,83.37011772,0.5,S2
69,55,38,5.70080568,82.63941394,0.5,S2
94,53,40,5.718627178,82.89408619,0.5,S2
89,54,38,6.685346424,83.5352163,0.5,S2
68,58,38,6.336253525,83.03322691,0.5,S2
91,53,40,5.386167788,81.41753846,0.5,S2
90,46,42,7.50283396,81.45061596,0.5,S2
78,58,44,5.108681786,80.88684822,0.5,S2
93,56,36,6.98435366,82.05687182,0.5,S2
94,50,37,6.94801983,80.66385045,0.5,S2
60,48,39,7.042299069,80.30025587,0.5,S2
85,38,41,6.249050656,82.7883708,0.5,S2
91,35,39,6.970859754,80.41817957,0.5,S2
77,38,36,5.953933276,80.1923008,0.5,S2
88,35,40,5.85393208,83.58760316,0.5,S2
89,45,36,6.442475375,80.47476396,0.5,S2
76,40,43,5.070175667,83.11713476,0.5,S2
67,59,41,6.012632591,80.97384195,0.5,S2
83,41,43,6.254028451,82.67839517,0.5,S2
98,47,37,7.375482851,81.33265073,0.5,S2
66,53,41,7.778915154,80.52389148,0.5,S2
97,59,43,6.286500176,84.04403589,0.5,S2
97,50,41,7.070959995,80.54498576,0.5,S2
60,49,44,6.244841491,84.49774397,0.5,S2
84,51,35,6.043304899,80.64416466,0.5,S2
73,57,41,5.824709117,84.94375962,0.5,S2
92,35,40,6.357389366,80.33127223,0.5,S2
85,37,39,6.364134968,82.73685569,0.5,S2
98,53,38,5.01450727,81.63895217,0.5,S2
88,54,44,6.149410611,83.88266234,0.5,S2
95,55,42,5.950660556,82.1480873,0.5,S2
99,57,35,5.960370061,81.17734011,0.5,S2
95,39,36,5.561398642,83.15250801,0.5,S2
60,43,44,7.416245107,82.95221726,0.5,S2
63,44,41,5.583370042,83.7287574,0.5,S2
62,42,36,6.430010215,82.06719137,0.5,S2
64,45,43,5.534878156,83.52842314,0.5,S2
83,60,36,6.903985986,80.14509262,0.5,S2
82,40,40,6.271478838,84.81360127,0.5,S2
85,52,45,7.224285503,82.36698992,0.5,S2
91,35,38,6.13428721,80.52586088,0.5,S2
76,49,42,5.206373153,84.47963372,0.5,S2
74,39,38,7.782051313,84.59201843,0.5,S2
79,43,39,7.062779015,80.70960551,0.5,S2
88,55,45,7.730367824,80.41363018,0.5,S2
60,36,43,5.286203711,83.06310136,0.5,S2
76,60,39,6.766240045,80.3477562,0.5,S2
93,56,42,7.382762603,82.22572988,0.5,S2
65,60,43,5.658169482,81.89918197,0.5,S2
95,52,36,5.543360238,83.83625819,0.5,S2
75,38,39,6.215109715,84.79352417,0.5,S2
74,54,38,7.120272972,83.47021081,0.5,S2
91,36,45,5.950647577,82.45432595,0.5,S2
71,46,40,7.236705436,82.1235421,0.5,S2
99,55,35,6.501697816,80.2389895,0.5,S2
72,40,38,7.592490617,82.20802629,0.5,S2
83,58,45,5.875345751,83.51827127,0.5,S2
93,58,38,6.932400225,83.77345559,0.5,S2
70,36,42,6.946209881,80.72886384,0.5,S2
76,47,42,5.739175027,83.29114712,0.5,S2
99,41,36,6.738652179,82.74835604,0.5,S2
99,54,37,5.594819626,80.33502926,0.5,S2
86,59,35,6.946636369,82.11124033,0.5,S2
69,46,41,5.012139669,80.28597873,0.5,S2
91,56,37,6.363472208,80.56887849,0.5,S2
61,52,41,6.880431223,83.891805,0.5,S2
67,45,38,7.300410836,82.1706881,0.5,S2
79,42,37,6.587918708,82.84022551,0.5,S2
78,43,42,7.283736617,83.00320459,0.5,S2
75,54,36,7.023936392,84.56919326,0.5,S2
97,36,45,6.939083505,81.85872947,0.5,S2
67,47,44,7.868474653,81.78596776,0.5,S2
73,35,38,5.005306977,81.97927117,0.5,S2
77,36,37,6.136131869,81.46033732,0.5,S2
81,41,38,7.524080076,83.72874389,0.5,S2
68,57,43,5.706943251,80.37979919,0.5,S2
72,45,35,5.758506323,82.94682591,0.5,S2
61,53,43,6.349606327,81.05635517,0.5,S2
67,43,39,5.999969026,84.96907151,0.5,S2
67,58,39,5.453592032,80.54372813,0.5,S2
66,60,38,6.372576327,83.47038318,0.5,S2
82,43,38,5.105588355,81.43321641,0.5,S2
84,50,44,5.935344406,81.40633547,0.5,S2
81,53,42,5.17782304,81.03569343,0.5,S2
91,50,40,6.462391607,84.1341879,0.5,S2
93,53,38,7.069172227,81.91411159,0.5,S2
90,44,38,7.473134377,83.88387074,0.5,S2
81,45,35,6.158376967,80.12267476,0.5,S2
78,40,38,7.549873681,83.85642678,0.5,S2
60,51,36,6.028321558,82.81088865,0.5,S2
88,46,42,6.604993475,83.46358271,0.5,S2
93,47,37,6.500343222,82.14004101,0.5,S2
60,55,45,5.935745417,83.3293191,0.5,S2
78,35,44,7.072655622,84.67353597,0.5,S2
65,37,40,5.333322606,83.59512273,0.5,S2
71,54,16,5.749914421,63.69070564,0.5,S2
61,44,17,6.931756558,71.57476937,0.5,S2
80,43,16,6.657964753,71.59351368,0.5,S2
73,58,21,6.596060648,57.68272924,0.5,S2
61,38,20,5.970458434,62.69503871,0.5,S2
68,41,16,6.158830619,57.80840636,0.5,S2
93,41,17,6.047906679,66.50415474,0.5,S2
89,60,19,5.913664501,66.6902901,0.5,S2
76,44,17,5.855442401,62.5542482,0.5,S2
67,60,25,5.750254943,66.78627406,0.5,S2
70,44,19,5.852607099,73.4541537,0.5,S2
90,49,21,6.472523287,68.3584573,0.5,S2
62,52,16,6.967057762,58.84015925,0.5,S2
92,44,16,6.082973754,65.76816093,0.5,S2
66,54,21,5.919045532,60.2001687,0.5,S2
63,58,22,6.204747653,55.28220433,0.5,S2
70,47,17,6.600827017,70.4162444,0.5,S2
61,41,17,6.021902237,65.26185135,0.5,S2
66,53,19,6.033550195,60.1159381,0.5,S2
74,55,19,6.28886807,62.89366992,0.5,S2
77,57,21,6.550563823,73.80435276,0.5,S2
99,50,15,5.573286437,71.09445342,0.5,S2
74,56,22,6.829199275,66.65952796,0.5,S2
83,45,21,5.716222912,58.75082029,0.5,S2
100,48,16,5.54990242,67.22190688,0.497202377,S2
79,51,16,6.586244581,68.49835977,0.5,S2
94,39,18,5.893093135,57.48775781,0.5,S2
75,49,15,5.918263801,71.50905983,0.5,S2
78,48,22,5.588650585,63.10459626,0.5,S2
87,54,20,6.576418207,63.4711755,0.5,S2
87,35,25,6.178056304,63.1621551,0.5,S2
63,43,19,6.641906353,55.53128131,0.5,S2
84,57,25,6.489040367,67.99257471,0.5,S2
64,35,23,5.680361038,61.89472002,0.5,S2
60,46,22,6.625404348,65.61418761,0.5,S2
98,44,21,6.524478032,74.089114,0.5,S2
75,56,18,5.696205468,62.35750641,0.5,S2
86,55,21,6.803931519,59.64024162,0.5,S2
98,35,18,6.252797548,74.82913698,0.5,S2
76,57,18,6.092725883,74.52600826,0.5,S2
99,56,17,6.234330356,73.13112261,0.5,S2
60,44,23,5.722579819,70.04556743,0.5,S2
74,48,17,6.430616465,60.27766379,0.5,S2
89,60,17,5.983952675,57.21025565,0.5,S2
69,51,23,6.80163854,72.85462807,0.5,S2
96,46,22,6.499936446,69.00128641,0.5,S2
61,60,15,6.265564338,68.74248334,0.5,S2
74,58,18,6.727303282,56.35606753,0.5,S2
74,43,23,6.325235159,61.89082199,0.5,S2
63,43,17,6.807487794,65.47050802,0.5,S2
99,36,20,6.671085817,65.34583901,0.5,S2
77,36,23,6.648725327,56.73426469,0.5,S2
87,60,23,6.439071996,63.91281869,0.5,S2
60,38,17,6.474476516,64.23580251,0.5,S2
94,54,17,5.871647806,61.74427165,0.5,S2
95,38,22,5.730617109,61.24500053,0.5,S2
84,44,21,5.850439831,61.91044947,0.5,S2
77,58,19,5.791649933,56.50768935,0.5,S2
66,44,20,6.740000688,69.02298571,0.5,S2
63,35,16,6.272417541,65.35549924,0.5,S2
79,45,20,5.715208817,59.24537979,0.5,S2
72,60,25,5.773454729,69.0276233,0.5,S2
67,51,24,5.584171461,61.32026065,0.5,S2
86,36,24,5.787268394,72.89187265,0.5,S2
76,48,18,5.77597783,69.63481219,0.5,S2
75,53,18,6.864793607,59.4375337,0.5,S2
81,45,23,6.192360003,68.034493,0.5,S2
73,45,21,6.636803223,73.58868502,0.5,S2
71,35,24,5.826426917,59.52193158,0.5,S2
96,54,22,6.960358276,61.33450447,0.5,S2
99,39,18,6.11275104,68.30578978,0.5,S2
62,48,20,6.708446922,60.47470519,0.5,S2
86,37,16,5.561510732,59.21235483,0.5,S2
94,50,19,5.873242491,73.62548442,0.5,S2
76,39,24,6.995843776,55.64709899,0.5,S2
77,52,17,5.714799723,65.7420046,0.5,S2
74,39,23,6.78073637,65.77472881,0.5,S2
81,49,20,5.513697923,60.61494304,0.5,S2
63,42,21,5.798423908,72.33125523,0.5,S2
99,38,21,6.352471866,71.59722446,0.5,S2
90,52,25,6.822586546,69.36385721,0.5,S2
68,40,19,6.655426355,66.20569924,0.5,S2
60,57,24,6.121294041,61.55327249,0.5,S2
71,52,18,5.790770203,55.97732754,0.5,S2
61,59,17,6.47444292,59.24580604,0.5,S2
88,38,15,6.455116637,65.92195844,0.5,S2
65,60,22,6.606984086,72.52054555,0.5,S2
78,37,22,6.330554389,63.31801994,0.5,S2
78,58,15,6.528631266,67.816568,0.5,S2
92,60,23,5.721667141,71.516474,0.5,S2
79,59,17,6.644205485,63.73849998,0.5,S2
91,55,15,6.376651091,72.61024172,0.5,S2
76,51,18,6.247040422,71.96246617,0.5,S2
87,48,25,6.656730008,61.37879671,0.5,S2
71,60,22,6.2048017,59.37147589,0.5,S2
90,57,24,6.158860284,72.80086137,0.5,S2
67,35,22,6.385684214,63.24648023,0.5,S2
60,54,19,6.417820493,62.49878458,0.5,S2
83,58,23,6.381201909,59.66263104,0.5,S2
83,57,19,6.877869005,70.74739256,0.5,S2
40,72,77,7.485996067,16.98861173,0.82372615,S3
23,72,84,6.920251378,17.13159126,0.823809127,S3
39,58,85,5.996932037,15.40589717,0.823809127,S3
22,72,85,6.391173589,15.65809214,0.823809127,S3
36,67,77,7.152811172,19.56381041,0.823809127,S3
32,73,81,5.988992796,15.40312102,0.823809127,S3
58,70,84,6.231049028,16.60820843,0.823809127,S3
59,70,84,7.550808267,18.74926979,0.823809127,S3
42,62,75,7.010570541,18.90426935,0.819258871,S3
28,74,81,8.753795334,18.30968112,0.823809127,S3
58,66,79,8.718192847,19.33470387,0.823809127,S3
43,66,79,7.976607593,15.22538951,0.816940255,S3
58,63,81,6.515499549,14.69765308,0.823809127,S3
23,62,85,8.490127142,19.5161216,0.823068297,S3
27,62,77,6.576415562,14.71070537,0.823809127,S3
28,72,84,6.481783043,19.18197264,0.823809127,S3
50,56,76,7.966605025,19.8601304,0.823707827,S3
39,71,84,8.140825437,16.39535215,0.821501693,S3
25,78,76,7.228963452,15.7559405,0.823809127,S3
31,70,77,6.492546046,14.32313811,0.823809127,S3
26,80,83,7.528599957,16.14565756,0.823809127,S3
25,68,77,7.701446446,15.11279612,0.823809127,S3
31,78,76,8.519975748,14.99927489,0.823809127,S3
60,68,83,6.620900869,18.43475844,0.823809127,S3
59,62,83,8.104396058,19.22008229,0.823522241,S3
22,67,78,6.204090835,14.42457525,0.823809127,S3
36,65,80,6.051091339,16.67921616,0.823809127,S3
59,60,84,7.690962338,18.66725565,0.823809127,S3
54,77,85,7.829211144,17.0662427,0.823809127,S3
43,68,81,6.761599706,17.93253975,0.816940255,S3
28,76,82,6.654425315,14.25803981,0.823809127,S3
42,79,85,6.129533877,15.82069268,0.819258871,S3
32,60,83,8.829273328,19.44225438,0.823809127,S3
22,78,76,8.621662982,19.09172907,0.823809127,S3
31,79,75,8.204862075,16.1074793,0.823763836,S3
28,58,81,6.18042747,16.54314829,0.823809127,S3
57,58,77,7.978996755,17.58406365,0.823809127,S3
49,55,78,7.863113671,16.17772668,0.821548903,S3
46,76,77,6.967843048,19.68538502,0.814594215,S3
54,61,77,6.206582193,15.21618225,0.823809127,S3
38,60,76,8.868741443,17.80852431,0.823809127,S3
59,55,79,8.766128654,16.89574311,0.823809127,S3
36,76,75,8.736337905,16.63805158,0.823809127,S3
57,68,81,8.081095263,17.30457712,0.823809127,S3
35,66,81,6.138243973,15.77458129,0.823809127,S3
35,64,78,7.496645259,14.27327988,0.823809127,S3
52,60,79,8.380185271,18.23490739,0.823809127,S3
27,76,83,6.289614016,14.92241479,0.823809127,S3
57,60,84,6.586777189,17.26184541,0.823809127,S3
52,68,78,6.89655198,16.96070581,0.823809127,S3
43,79,79,7.806747656,18.98030507,0.816940255,S3
44,74,85,7.150681303,19.63719995,0.814594215,S3
24,55,78,6.64919573,15.15405941,0.823809127,S3
29,77,75,7.778591618,15.48083156,0.823809127,S3
20,60,78,6.358740355,14.70085967,0.823809127,S3
56,67,78,8.255450758,16.71826572,0.823809127,S3
37,66,85,6.456148474,18.91295403,0.823809127,S3
49,71,76,6.613072145,17.63879418,0.821548903,S3
59,69,80,8.165359297,17.86754927,0.821196503,S3
20,79,77,7.64867466,16.02542689,0.823809127,S3
24,56,85,6.545888558,17.41333199,0.823809127,S3
51,72,75,7.104224797,14.99451145,0.823809127,S3
57,73,85,7.358099622,14.72115044,0.823809127,S3
22,64,82,6.4740245,17.17260319,0.823809127,S3
52,73,79,7.840339389,18.74943955,0.823809127,S3
29,75,75,7.064790365,18.71483156,0.823809127,S3
44,59,78,7.599033472,19.85388984,0.814594215,S3
41,69,82,6.715587232,16.63294455,0.821548903,S3
52,56,85,6.81712422,14.44228303,0.823809127,S3
34,76,80,7.985417393,15.84572566,0.823809127,S3
42,74,83,7.545258424,14.2804191,0.819258871,S3
34,71,79,7.728998197,15.85622899,0.823809127,S3
27,73,79,7.354973451,15.83500655,0.823809127,S3
30,70,79,7.313122235,19.96978871,0.823809127,S3
57,57,75,7.785039076,18.25142068,0.823809127,S3
27,79,82,6.307004923,17.54024066,0.823809127,S3
32,71,85,6.403982316,14.44008871,0.823809127,S3
31,76,82,7.599279991,17.85057083,0.823809127,S3
33,75,84,7.217018459,18.72831993,0.823809127,S3
47,80,77,7.561108006,16.42891834,0.816940255,S3
54,62,80,7.489545074,16.39055394,0.823809127,S3
47,79,78,6.609696734,14.76014523,0.816940255,S3
35,57,83,7.476800943,17.44534641,0.823809127,S3
53,73,77,7.325451279,18.09665739,0.823809127,S3
45,61,78,6.489389282,16.06240074,0.812221847,S3
37,78,79,7.786366322,14.82633099,0.823809127,S3
30,75,81,6.408437886,16.80472243,0.823809127,S3
37,55,82,8.423873703,18.02235902,0.822463809,S3
53,65,76,8.719960893,16.41998269,0.823809127,S3
22,60,85,7.811997977,14.74071856,0.823809127,S3
60,61,78,6.317153205,19.83643308,0.823809127,S3
42,67,77,7.114405288,15.9362937,0.819258871,S3
39,76,76,8.135900726,15.57324389,0.821781945,S3
35,63,76,7.714153038,17.60756635,0.823809127,S3
30,65,82,7.103798069,15.27824066,0.823809127,S3
57,56,78,8.861479668,18.75626255,0.823809127,S3
48,65,78,7.861128148,14.33847406,0.819258871,S3
36,56,83,7.4526709,19.76182946,0.823809127,S3
40,58,75,7.168096055,14.77959596,0.82372615,S3
49,69,82,7.26311855,15.36143547,0.821548903,S3
13,60,25,5.68597166,20.59541693,0.823809127,S3
25,70,16,5.759237003,18.90705639,0.823809127,S3
31,55,22,5.873171894,21.33953114,0.823809127,S3
40,64,16,5.926676985,24.24045875,0.82372615,S3
2,61,20,5.95561668,23.02251117,0.823809127,S3
